白夜幻想譚,イリスのアトリエ エターナルマナ,Gust,200
楽园の键,君の中のパラディアーム,ImpurePug,186
虚空奏でし诗,ウィルド・ラッドの調べ,Kuse,178
天を手にした旅人,canoue chronicle,Bellicose,174
捻子巻く時計が月の満ち欠けを刻む2016ver.,翼の降る王国,Garden,168
光の降る森,翼の降る王国,Yorita Yoshino,166
金平糖レトロチカ - Another Flower ver. -,Another Flower II,Misure,164
夢を織る家,アーシャのアトリエ~黄昏の大地の錬金術士~,nika mika,133
光ノ軌跡,フィリスのアトリエ ~不思議な旅の錬金術士~,Misure,118
冷たい森,canoue chronicle,yf_bmp,112
想いのコンチェルト,想いのコンチェルト,Fushimi Rio,105
郷里はるか,イリスのアトリエ エターナルマナ,Gust,92
"Hartes ciel, melenas walasye ",アルトネリコ2 世界に響く少女たちの創造詩,Shurelia,~85
水を映す者,光の雨音 ~SACRED DOORS element maxi side Undine~,Gust,180
